id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2,legendary
1,1,Bulbasaur,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,318,15.2 lbs.,"2'04""",,,Seed Pokémon,0.875,0.125,,Monster,Grass,0
2,2,Ivysaur,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,405,28.7 lbs.,"3'03""",,,Seed Pokémon,0.875,0.125,Bulbasaur,Monster,Grass,0
3,3,Venusaur,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,525,220.5 lbs.,"6'07""",,,Seed Pokémon,0.875,0.125,Ivysaur,Monster,Grass,0
4,4,Charmander,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,309,18.7 lbs.,"2'00""",,,Lizard Pokémon,0.875,0.125,,Monster,Dragon,0
5,5,Charmeleon,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,405,41.9 lbs.,"3'07""",,,Flame Pokémon,0.875,0.125,Charmander,Monster,Dragon,0
6,6,Charizard,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,534,199.5 lbs.,"5'07""",,,Flame Pokémon,0.875,0.125,Charmeleon,Monster,Dragon,0
7,7,Squirtle,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,314,19.8 lbs.,"1'08""",,,Tiny Turtle Pokémon,0.875,0.125,,Monster,Water 1,0
8,8,Wartortle,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,405,49.6 lbs.,"3'03""",,,Turtle Pokémon,0.875,0.125,Squirtle,Monster,Water 1,0
9,9,Blastoise,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,530,188.5 lbs.,"5'03""",,,Shellfish Pokémon,0.875,0.125,Wartortle,Monster,Water 1,0
10,10,Caterpie,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,195,6.4 lbs.,"1'00""","When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers.",Worm Pokémon,0.5,0.5,,Bug,,0
